date,user_id,state,is_active_today,is_engaged_today,next_day_active,next_day_state
2025-12-01,u001,inactive,0,0,0,inactive
2025-12-02,u001,inactive,0,0,0,inactive
2025-12-03,u001,inactive,0,0,0,inactive
2025-12-04,u001,inactive,0,0,0,inactive
2025-12-05,u001,inactive,0,0,0,inactive
2025-12-06,u001,inactive,0,0,1,view_only
2025-12-07,u001,view_only,1,0,0,inactive
2025-12-08,u001,inactive,0,0,0,inactive
2025-12-09,u001,inactive,0,0,0,inactive
2025-12-10,u001,inactive,0,0,0,inactive
2025-12-11,u001,inactive,0,0,0,inactive
2025-12-12,u001,inactive,0,0,1,engaged
2025-12-13,u001,engaged,1,1,0,inactive
2025-12-14,u001,inactive,0,0,0,inactive
2025-12-15,u001,inactive,0,0,0,inactive
2025-12-16,u001,inactive,0,0,1,view_only
2025-12-17,u001,view_only,1,0,1,engaged
2025-12-18,u001,engaged,1,1,0,inactive
2025-12-19,u001,inactive,0,0,0,inactive
2025-12-20,u001,inactive,0,0,0,inactive
2025-12-01,u002,inactive,0,0,0,inactive
2025-12-02,u002,inactive,0,0,0,inactive
2025-12-03,u002,inactive,0,0,0,inactive
2025-12-04,u002,inactive,0,0,0,inactive
2025-12-05,u002,inactive,0,0,0,inactive
2025-12-06,u002,inactive,0,0,0,inactive
2025-12-07,u002,inactive,0,0,0,inactive
2025-12-08,u002,inactive,0,0,1,engaged
2025-12-09,u002,engaged,1,1,0,inactive
2025-12-10,u002,inactive,0,0,0,inactive
2025-12-11,u002,inactive,0,0,1,view_only
2025-12-12,u002,view_only,1,0,0,inactive
2025-12-13,u002,inactive,0,0,0,inactive
2025-12-14,u002,inactive,0,0,0,inactive
2025-12-15,u002,inactive,0,0,0,inactive
2025-12-16,u002,inactive,0,0,0,inactive
2025-12-17,u002,inactive,0,0,0,inactive
2025-12-18,u002,inactive,0,0,0,inactive
2025-12-19,u002,inactive,0,0,0,inactive
2025-12-20,u002,inactive,0,0,0,inactive
2025-12-01,u003,inactive,0,0,0,inactive
2025-12-02,u003,inactive,0,0,0,inactive
2025-12-03,u003,inactive,0,0,0,inactive
2025-12-04,u003,inactive,0,0,1,engaged
2025-12-05,u003,engaged,1,1,0,inactive
2025-12-06,u003,inactive,0,0,0,inactive
2025-12-07,u003,inactive,0,0,0,inactive
2025-12-08,u003,inactive,0,0,0,inactive
2025-12-09,u003,inactive,0,0,0,inactive
2025-12-10,u003,inactive,0,0,1,engaged
2025-12-11,u003,engaged,1,1,0,inactive
2025-12-12,u003,inactive,0,0,0,inactive
2025-12-13,u003,inactive,0,0,0,inactive
2025-12-14,u003,inactive,0,0,0,inactive
